#,"Campaña/Aviso institucional","Nivel Socioeconómico"
1,"BECAS ACADÉMICAS ESCUDO ESCOLAR DARE VISTA EL CERRO GRANDE ","AB Alta"
2,"BECAS ACADÉMICAS ESCUDO ESCOLAR DARE VISTA EL CERRO GRANDE ","C Media"
3,"BECAS ACADÉMICAS ESCUDO ESCOLAR DARE VISTA EL CERRO GRANDE ","D+ Media Baja"
4,"BECAS ACADÉMICAS ESCUDO ESCOLAR DARE VISTA EL CERRO GRANDE ","C+ Media Alta"
5,"BECAS ACADÉMICAS ESCUDO ESCOLAR DARE VISTA EL CERRO GRANDE ","D Baja"
6,"BECAS ACADÉMICAS ESCUDO ESCOLAR DARE VISTA EL CERRO GRANDE ","E Marginada"
