#,Ejercicio,Factura,Fecha,Proveedor,Clasificación,Categoría,Subcategoría,Tipo,"Campaña o aviso","Monto gastado"
46,2020,406,01.06.2020,WWW.PAUSA.MX,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","Entregando becas","$ 50,112.00"
47,2020,344,15.06.2020,"ASERTO RADIO","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"CALL CENTER","$ 73,599.98"
48,2020,1405,27.04.2020,www.noticiaschihuahua.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"UTILIZA CUBRE BOCAS","$ 92,800.00"
49,2020,AXAB000231362,27.04.2020,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"UTILIZA CUBRE BOCAS","$ 603,200.00"
50,2020,APAB000011598,27.04.2020,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","Avisos Institucionales","Licitación o.m. 06/20","$ 2,600,000.00"
51,2020,PD-898,15.06.2020,"Plataforma en Difusión, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"COVID NARANJA","$ 220,498.70"
52,2020,362,27.04.2020,"El Pueblo Familiar, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"FRENTE AL COVID19","$ 80,000.00"
53,2020,EF6A,16.06.2020,"""No le cambie""","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"GAZA UNIVERSITARIA","$ 246,999.99"
54,2020,-226,04.06.2020,"Recuperadora Ambiental Del Norte S de Rl de Cv","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","Entregando becas","$ 900,480.00"
55,2020,488,27.04.2020,"Merboca, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,Campañas,"tu predial","$ 134,999.99"
56,2020,368,16.06.2020,"El Pueblo Familiar, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","ORIENTACIÓN Y MEDIDAS DEL COVID 19","$ 100,000.00"
57,2020,1243,18.06.2020,"Now New Media S.A.P.I de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"UTILIZA CUBRE BOCAS","$ 320,000.00"
58,2020,42,15.06.2020,"Programa CONTRASTE","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"FRENTE AL COVID19","$ 108,000.00"
