#,"Campaña o aviso institucional","Clasificación del servicio","Categoría del servicio","Subcategoría del servicio",Unidad,"Sujeto obligado contratante","Partida del contratante","Sujeto obligado solicitante","Partida del solicitante","Área administrativa encargada de solicitar el servicio","Descripción del servicio o producto adquirido",Cantidad,"Precio unitario con I.V.A. incluido","Fecha de validación","Área responsable de la información",Año,"Fecha de actualización",Nota,Estatus
1,"Desc. del Predial de Febrero.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,"3600 - 361 - 36102 - Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",Chihuahua,,"Unidad Administrativa  de Comunicación Social ","SPOT EN RADIO ",20.00,"$ 120.00",13.06.2018,"Unidad Administrativa  de Comunicación Social ",2018,30.03.2018,"La información referente a los avisos institucionales/campañas publicitarias es inexacta en su monto y congruencia, ya que la infromación obtenida de la PNT tiene contradicciones con lo manifestado en los detalles de las facturas, sin embargo los montos son correctos. Las cantidades unitarias que muestran un número uno señalan que el medio está detallando sólo una unidad de servicio por lo que no es un precio unitario en sí.",Activo
2,"Descuento del Predial del Més de Enero","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,"3600 - 361 - 36102 - Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",Chihuahua,,"Unidad Administrativa  de Comunicación Social ","SPOT EN RADIO ",10.00,"$ 120.00",13.06.2018,"Unidad Administrativa  de Comunicación Social ",2018,30.03.2018,"La información referente a los avisos institucionales/campañas publicitarias es inexacta en su monto y congruencia, ya que la infromación obtenida de la PNT tiene contradicciones con lo manifestado en los detalles de las facturas, sin embargo los montos son correctos. Las cantidades unitarias que muestran un número uno señalan que el medio está detallando sólo una unidad de servicio por lo que no es un precio unitario en sí.",Activo
3,"Desc. del Predial de Febrero.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,"3600 - 361 - 36102 - Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",Chihuahua,,"Unidad Administrativa  de Comunicación Social ","SPOT EN RADIO ",20.00,"$ 240.00",13.06.2018,"Unidad Administrativa  de Comunicación Social ",2018,30.03.2018,"La información referente a los avisos institucionales/campañas publicitarias es inexacta en su monto y congruencia, ya que la infromación obtenida de la PNT tiene contradicciones con lo manifestado en los detalles de las facturas, sin embargo los montos son correctos. Las cantidades unitarias que muestran un número uno señalan que el medio está detallando sólo una unidad de servicio por lo que no es un precio unitario en sí.",Activo
4,"Distribuidor Previo Homero","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,"3600 - 361 - 36102 - Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",Chihuahua,,"Unidad Administrativa  de Comunicación Social ","SPOT EN RADIO ",20.00,"$ 480.00",13.06.2018,"Unidad Administrativa  de Comunicación Social ",2018,30.03.2018,"La información referente a los avisos institucionales/campañas publicitarias es inexacta en su monto y congruencia, ya que la infromación obtenida de la PNT tiene contradicciones con lo manifestado en los detalles de las facturas, sin embargo los montos son correctos. Las cantidades unitarias que muestran un número uno señalan que el medio está detallando sólo una unidad de servicio por lo que no es un precio unitario en sí.",Activo
